transaction_id,date,timestamp,store_id,customer_id,product_id,category,quantity,unit_price,total_amount,discount_percent,final_amount,payment_method
T000001,2024-01-01,2024-01-01 20:43:27,STORE_08,CUST_0094,P033,Clothing,5,122.09,610.45,0.0,610.45,Credit Card
T000002,2024-01-01,2024-01-01 08:43:46,STORE_07,CUST_0611,P025,Clothing,3,174.94,524.82,0.0,524.82,Credit Card
T000003,2024-01-01,2024-01-01 10:29:00,STORE_09,CUST_0769,P044,Home & Garden,1,205.88,205.88,0.0,205.88,Cash
T000004,2024-01-01,2024-01-01 16:38:12,STORE_03,CUST_0520,P033,Clothing,6,125.74,754.44,0.0,754.44,Debit Card
T000005,2024-01-01,2024-01-01 15:01:07,STORE_03,CUST_0553,P024,Electronics,4,204.04,816.16,0.0,816.16,Cash
T000006,2024-01-01,2024-01-01 09:48:34,STORE_04,CUST_0060,P020,Home & Garden,1,63.57,63.57,12.29,55.76,Debit Card
T000007,2024-01-01,2024-01-01 11:59:34,STORE_08,CUST_0970,P009,Sports,3,141.77,425.31,0.0,425.31,Debit Card
T000008,2024-01-01,2024-01-01 15:07:15,STORE_05,CUST_0409,P046,Clothing,2,70.77,141.54,0.0,141.54,Debit Card
T000009,2024-01-01,2024-01-01 08:14:04,STORE_06,CUST_0022,P005,Home & Garden,1,45.73,45.73,15.62,38.59,Credit Card
T000010,2024-01-01,2024-01-01 19:59:56,STORE_02,CUST_0527,P022,Sports,1,254.43,254.43,0.0,254.43,Mobile Pay
T000011,2024-01-01,2024-01-01 14:26:29,STORE_08,CUST_0827,P016,Home & Garden,3,74.06,222.18,0.0,222.18,Credit Card
T000012,2024-01-01,2024-01-01 11:34:28,STORE_02,CUST_0063,P044,Home & Garden,1,211.74,211.74,0.0,211.74,Debit Card
T000013,2024-01-01,2024-01-01 21:54:35,STORE_03,CUST_0286,P028,Home & Garden,4,326.31,1305.24,0.0,1305.24,Credit Card
T000014,2024-01-01,2024-01-01 15:30:13,STORE_09,CUST_0857,P004,Sports,1,44.16,44.16,0.0,44.16,Mobile Pay
T000015,2024-01-01,2024-01-01 19:46:50,STORE_03,CUST_0389,P004,Sports,2,44.04,88.08,0.0,88.08,Mobile Pay
T000016,2024-01-01,2024-01-01 19:20:03,STORE_04,CUST_0304,P010,Home & Garden,3,289.62,868.86,0.0,868.86,Credit Card
T000017,2024-01-01,2024-01-01 09:54:11,STORE_08,CUST_0515,P038,Electronics,1,580.08,580.08,0.0,580.08,Credit Card
T000018,2024-01-01,2024-01-01 17:02:39,STORE_02,CUST_0692,P039,Electronics,3,1747.51,5242.53,0.0,5242.53,Credit Card
T000019,2024-01-01,2024-01-01 13:15:16,STORE_10,CUST_0579,P027,Electronics,5,825.99,4129.95,0.0,4129.95,Mobile Pay
T000020,2024-01-01,2024-01-01 17:06:04,STORE_05,CUST_0469,P009,Sports,1,135.21,135.21,14.32,115.85,Debit Card
T000021,2024-01-01,2024-01-01 10:28:53,STORE_05,CUST_0136,P033,Clothing,5,126.21,631.05,0.0,631.05,Cash
T000022,2024-01-01,2024-01-01 22:08:16,STORE_09,CUST_0009,P040,Home & Garden,3,161.07,483.21,0.0,483.21,Credit Card
T000023,2024-01-01,2024-01-01 18:40:54,STORE_09,CUST_0160,P007,Sports,3,181.88,545.64,0.0,545.64,Cash
T000024,2024-01-01,2024-01-01 21:17:02,STORE_08,CUST_0258,P033,Clothing,4,125.57,502.28,0.0,502.28,Credit Card
T000025,2024-01-01,2024-01-01 14:35:00,STORE_03,CUST_0653,P022,Sports,2,294.27,588.54,0.0,588.54,Credit Card
T000026,2024-01-01,2024-01-01 10:02:19,STORE_03,CUST_0559,P005,Home & Garden,3,40.77,122.31,0.0,122.31,Cash
T000027,2024-01-01,2024-01-01 22:55:26,STORE_06,CUST_0216,P003,Clothing,2,158.12,316.24,0.0,316.24,Debit Card
T000028,2024-01-01,2024-01-01 13:50:59,STORE_03,CUST_1000,P016,Home & Garden,2,79.99,159.98,16.05,134.31,Mobile Pay
T000029,2024-01-01,2024-01-01 21:30:14,STORE_04,CUST_0274,P043,Groceries,2,13.58,27.16,0.0,27.16,Debit Card
T000030,2024-01-01,2024-01-01 13:17:55,STORE_06,CUST_0313,P030,Groceries,5,15.36,76.8,7.9,70.74,Credit Card
T000031,2024-01-01,2024-01-01 08:07:56,STORE_05,CUST_0360,P050,Clothing,3,205.17,615.51,0.0,615.51,Cash
T000032,2024-01-01,2024-01-01 19:50:20,STORE_10,CUST_0986,P012,Clothing,3,159.76,479.28,0.0,479.28,Mobile Pay
T000033,2024-01-01,2024-01-01 16:59:51,STORE_09,CUST_0119,P039,Electronics,2,1592.17,3184.34,11.54,2816.84,Debit Card
T000034,2024-01-01,2024-01-01 21:07:46,STORE_07,CUST_0072,P024,Electronics,8,203.86,1630.88,0.0,1630.88,Cash
T000035,2024-01-01,2024-01-01 11:26:42,STORE_05,CUST_0683,P033,Clothing,2,114.02,228.04,0.0,228.04,Mobile Pay
T000036,2024-01-01,2024-01-01 11:27:50,STORE_03,CUST_0631,P044,Home & Garden,1,218.93,218.93,0.0,218.93,Cash
T000037,2024-01-01,2024-01-01 09:18:32,STORE_08,CUST_0453,P030,Groceries,3,14.94,44.82,0.0,44.82,Cash
T000038,2024-01-01,2024-01-01 15:39:54,STORE_04,CUST_0689,P006,Electronics,5,495.87,2479.35,8.67,2264.32,Credit Card
T000039,2024-01-01,2024-01-01 14:15:09,STORE_07,CUST_0908,P030,Groceries,3,14.8,44.4,0.0,44.4,Credit Card
T000040,2024-01-01,2024-01-01 08:35:15,STORE_02,CUST_0798,P049,Sports,3,132.82,398.46,0.0,398.46,Credit Card
T000041,2024-01-01,2024-01-01 20:57:28,STORE_03,CUST_0821,P030,Groceries,3,14.33,42.99,0.0,42.99,Mobile Pay
T000042,2024-01-01,2024-01-01 11:53:40,STORE_08,CUST_0919,P036,Sports,7,79.57,556.99,0.0,556.99,Cash
T000043,2024-01-01,2024-01-01 11:17:21,STORE_09,CUST_0497,P050,Clothing,1,204.58,204.58,0.0,204.58,Cash
T000044,2024-01-01,2024-01-01 09:26:26,STORE_02,CUST_0142,P035,Home & Garden,1,145.92,145.92,0.0,145.92,Cash
T000045,2024-01-01,2024-01-01 17:44:01,STORE_08,CUST_0426,P035,Home & Garden,7,143.15,1002.05,0.0,1002.05,Mobile Pay
T000046,2024-01-01,2024-01-01 19:34:51,STORE_01,CUST_0966,P031,Groceries,2,35.5,71.0,0.0,71.0,Debit Card
T000047,2024-01-01,2024-01-01 20:25:46,STORE_04,CUST_0280,P032,Electronics,2,1241.21,2482.42,0.0,2482.42,Debit Card
T000048,2024-01-01,2024-01-01 08:05:41,STORE_03,CUST_0638,P030,Groceries,8,14.53,116.24,0.0,116.24,Mobile Pay
T000049,2024-01-02,2024-01-02 20:56:24,STORE_03,CUST_0052,P030,Groceries,2,13.74,27.48,0.0,27.48,Cash
